"","BTC_USD_close_diff","dollar2yuan_Open","dji_close_sma3_diff","BTC_USD_Open_ema5","stock_Adjusted","BTC_USD_open_move"
"32",42.3457030000009,0.90179,-111.546224000002,9242.3528366941,76.504311,"up"
"33",-48.5097659999992,0.90179,-111.546224000002,9291.5086621294,76.504311,"down"
"34",-50.84375,0.90179,-111.546224000002,9309.2336394196,76.504311,"down"
"35",-112.558593000002,0.90392,-17.2695313333352,9303.7696919464,79.029999,"down"
"36",432.460937000002,0.90541,344.940104000001,9263.65179996427,79.674438,"up"
"37",116.377929999999,0.90905,326.652994666663,9381.70829630951,80.606384,"up"
"38",66.1416010000012,0.91066,98.2929690000019,9496.47317420634,79.510727,"up"
"39",69.1757819999984,0.91335,-4.67643199999657,9595.33888713756,79.888359,"up"
"40",251.554687000002,0.91335,-4.67643199999657,9684.85743509171,79.888359,"up"
"41",-260.0625,0.91335,-4.67643199999657,9828.42481339447,79.888359,"down"
"42",351.625,0.9164,-34.4765623333333,9837.58040959631,79.406372,"up"
"43",117.818359999999,0.9156,149.636718666668,9959.18283806421,81.292099,"up"
"44",-111.674805000001,0.91942,48.830077999999,10080.7755380428,80.713219,"down"
"45",97.7363280000009,0.922,40.580077999999,10124.3672856952,80.733086,"up"
"46",-422.691406,0.92246,-106.410156333335,10187.5303387968,79.254822,"down"
"47",45.0087889999995,0.92246,-106.410156333335,10088.0801218645,79.254822,"up"
"48",-244.291015999999,0.92246,-106.410156333335,10037.5735969097,79.254822,"down"
"49",451.853515999999,0.92276,-106.410156333335,9922.12588760646,79.254822,"up"
"50",-508.609375,0.92638,-25.09375,9996.01686773764,80.402649,"down"
"51",-24.9111329999996,0.9251,-59.3665363333312,9873.78631015843,79.577805,"down"
"52",77.9658199999994,0.92698,-79.9264323333337,9786.45161577229,77.776558,"up"
"53",-23.2597650000007,0.92263,-462.409505333337,9753.53675418152,74.082146,"down"
"54",261.333984000001,0.92263,-462.409505333337,9723.46395578768,74.082146,"up"
"55",-274.340819999999,0.92263,-462.409505333337,9789.50363985846,74.082146,"down"
"56",-308.469727,0.92174,-712.873697999999,9743.4399265723,71.572823,"down"
"57",-521.182617,0.919033,-678.273437333333,9608.3899640482,72.708221,"down"
"58",-36.0283200000013,0.91864,-731.386718666665,9347.29122603214,67.955421,"down"
"59",-112.039062999998,0.90946,-557.333333333332,9161.10365602142,67.915665,"down"
"60",-72.9462890000013,0.90477,-84.7565103333327,8997.80673434762,74.238663,"down"
"61",-37.0546869999998,0.90477,-84.7565103333327,8865.12408589841,74.238663,"down"
"62",307.215819999999,0.90477,-84.7565103333327,8764.50427326561,74.238663,"up"
"63",-81.8837889999995,0.89732,50.2565103333327,8798.13208051041,71.880898,"down"
"64",-32.5400389999995,0.89467,560.5,8794.93538434027,75.215065,"down"
"65",323.516600999999,0.89774,-194.013672000001,8783.38530822685,72.775307,"up"
"66",43.7832030000009,0.89096,-17.5436196666669,8881.69307015123,71.808846,"up"
"67",-212.591796000001,0.87826,-1079.94661466667,8961.66224210082,66.129333,"down"
"68",-801.837891,0.87826,-1079.94661466667,8943.84351306722,66.129333,"down"
"69",-184.47168,0.87826,-1079.94661466667,8666.27783671148,66.129333,"down"
"70",-13.9150389999995,0.87739,-367.706380333333,8418.23421547432,70.892075,"down"
"71",1.70068399999946,0.88369,-770.519531333335,8248.85275831621,68.429955,"up"
"72",-2940.64209,0.88804,-883.466796666664,8137.10724254414,61.672176,"down"
"73",592.918945,0.89417,-610.847005,7097.34851336276,69.061012,"up"
"74",-363.34082,0.89609,-1121.56705733333,6589.25822124184,60.176525,"down"
"75",191.94873,0.89609,-1121.56705733333,6126.52777916123,60.176525,"up"
"76",-377.834961,0.89609,-1121.56705733333,5879.42835010749,60.176525,"down"
"77",211.149415,0.89579,12.2539059999981,5587.14494173832,62.822491,"up"
"78",12.8090819999998,0.9077,-1095.56640633334,5467.13455115888,61.284599,"up"
"79",952.754394000001,0.91379,-33.7766926666663,5393.22853543926,60.815033,"up"
"80",7.58544900000015,0.93822,-687.800129999996,5659.37029329284,56.954155,"up"
"81",-13.7119140000004,0.93567,-435.663411333335,5841.75402352856,55.744217,"down"
"82",-354.811523,0.93567,-435.663411333335,5956.35538401904,55.744217,"down"
"83",586.060058,0.93567,-435.663411333335,5914.69509334603,55.744217,"up"
"84",318.48877,0.92896,205.906901000002,6088.67758823068,61.336773,"up"
"85",-53.7407229999999,0.92582,675.52343733333,6305.35732448712,60.998886,"down"
"86",35.377442,0.91848,1320.080078,6428.62851565808,64.208832,"up"
"87",-246.642089999999,0.90529,310.623047000001,6525.54873043872,61.550438,"down"
"88",-227.604492,0.89804,375.643229333335,6506.11712229248,63.306961,"down"
"89",-320.150879,0.89804,375.643229333335,6419.28625219499,63.306961,"down"
"90",507.798828,0.89804,375.643229333335,6254.70369279666,63.306961,"up"
"91",8.80273399999987,0.90675,-211.669922000001,6313.33794353111,63.177769,"up"
"92",168.131836,0.90677,-231.089843666665,6354.66507435407,59.853539,"up"
"93",186.848145,0.91316,-304.680338666669,6438.70217190272,60.852295,"up"
"94",-60.2373050000006,0.92218,-288.210286333331,6558.26694260181,59.977768,"down"
"95",134.140137,0.92522,578.826822666666,6618.30556606787,65.210068,"up"
"96",-76.3979490000002,0.92522,578.826822666666,6699.71624337858,65.210068,"down"
"97",480.651855,0.92522,578.826822666666,6729.16076391906,65.210068,"up"
"98",-95.3666990000002,0.92576,413.473307333334,6910.65519027937,64.454796,"down"
"99",157.684082,0.91791,793.680338666665,7000.19786118625,66.104485,"up"
